x,y,z,a,b,c
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
0.03,0.0,-0.02,0.0,0.0,0.0
